lineup_id;match_id;team_id;player_id;is_starting;shirt_number;position
12900;353;15;1006;1;3;
12901;353;15;1008;1;5;
12902;353;15;1009;1;6;
12903;353;15;1017;1;17;
12904;353;15;1232;1;18;
12905;353;15;1012;1;19;
12906;353;15;1019;1;21;
12907;353;15;1013;1;22;
12908;353;15;1302;1;25;
12909;353;15;1014;1;30;
12910;353;15;1460;0;40;Torwart
12911;353;15;1005;0;2;
12912;353;15;1007;0;4;
12913;353;15;1138;0;9;
12914;353;15;1016;0;16;
12915;353;15;1018;0;20;
12916;353;15;1020;0;23;
12917;353;15;1511;0;26;
12918;353;15;1059;0;31;
12999;355;15;1017;1;17;
13000;355;15;1232;1;18;
13001;355;15;1020;1;23;
13002;355;15;1511;1;26;
13003;355;15;1014;1;30;
13004;355;15;1004;1;41;Torwart
13005;355;15;1005;1;2;
13006;355;15;1007;1;4;
13007;355;15;1009;1;6;
13008;355;15;736;1;8;
13009;355;15;1016;1;16;
13010;355;15;1460;0;40;Torwart
13011;355;15;1006;0;3;
13012;355;15;1138;0;9;
13013;355;15;1012;0;19;
13014;355;15;1018;0;20;
13015;355;15;1019;0;21;
13016;355;15;1013;0;22;
13017;355;15;1022;0;29;
13018;355;15;1059;0;31;
13577;370;15;1004;1;41;Torwart
13578;370;15;1005;1;2;
13579;370;15;1008;1;5;
13580;370;15;1009;1;6;
13581;370;15;736;1;8;
13582;370;15;1016;1;16;
13583;370;15;1232;1;18;
13584;370;15;1013;1;22;
13585;370;15;1020;1;23;
13586;370;15;1511;1;26;
13587;370;15;1014;1;30;
13588;370;15;1460;0;40;Torwart
13589;370;15;1006;0;3;
13590;370;15;1007;0;4;
13591;370;15;1138;0;9;
13592;370;15;1011;0;11;
13593;370;15;1017;0;17;
13594;370;15;1012;0;19;
13595;370;15;1019;0;21;
13596;370;15;1059;0;31;
13917;378;15;1138;1;9;
13918;378;15;1537;1;10;
13919;378;15;1016;1;16;
13920;378;15;1013;1;22;
13921;378;15;1511;1;26;
13922;378;15;1004;1;41;Torwart
13923;378;15;1005;1;2;
13924;378;15;1006;1;3;
13925;378;15;1008;1;5;
13926;378;15;1009;1;6;
13927;378;15;736;1;8;
13928;378;15;1460;0;40;Torwart
13929;378;15;1007;0;4;
13930;378;15;1011;0;11;
13931;378;15;1017;0;17;
13932;378;15;1232;0;18;
13933;378;15;1018;0;20;
13934;378;15;1019;0;21;
13935;378;15;1302;0;25;
13936;378;15;1059;0;31;
14297;388;15;1004;1;41;Torwart
14298;388;15;1006;1;3;
