player_match_stat_id;match_id;team_id;player_id;is_starting;was_substituted_in;was_substituted_out;minute_in;minute_out;minutes_played;goals;own_goals;assists;yellow_cards;yellow_red_cards;red_cards;clean_sheet;shirt_number;position;created_at;updated_at
26043;218;15;1048;0;1;0;78;90;12;1;0;0;1;0;0;0;;;2026-08-29 09:22:36;2026-08-29 09:22:36
26354;226;15;1006;1;0;0;0;90;90;0;0;0;0;0;0;0;3;;2026-08-29 09:22:36;2026-08-29 09:22:36
26355;226;15;1007;1;0;0;0;90;90;0;0;0;0;0;0;0;4;;2026-08-29 09:22:36;2026-08-29 09:22:36
26356;226;15;1009;1;0;0;0;90;90;0;0;0;0;0;0;0;6;;2026-08-29 09:22:36;2026-08-29 09:22:36
26357;226;15;1016;1;0;1;0;75;75;0;0;0;0;0;0;0;16;;2026-08-29 09:22:36;2026-08-29 09:22:36
26358;226;15;1012;1;0;0;0;90;90;0;0;0;0;0;0;0;19;;2026-08-29 09:22:36;2026-08-29 09:22:36
26359;226;15;1013;1;0;1;0;89;89;0;0;0;1;0;0;0;22;;2026-08-29 09:22:36;2026-08-29 09:22:36
26360;226;15;1020;1;0;0;0;90;90;0;0;0;0;0;0;0;23;;2026-08-29 09:22:36;2026-08-29 09:22:36
26361;226;15;1022;1;0;1;0;68;68;1;0;0;0;0;0;0;29;;2026-08-29 09:22:36;2026-08-29 09:22:36
26362;226;15;1014;1;0;1;0;89;89;0;0;0;0;0;0;0;30;;2026-08-29 09:22:36;2026-08-29 09:22:36
26363;226;15;1059;1;0;1;0;68;68;1;0;0;0;0;0;0;31;;2026-08-29 09:22:36;2026-08-29 09:22:36
26364;226;15;1004;1;0;0;0;90;90;0;0;0;0;0;0;0;41;Torwart;2026-08-29 09:22:36;2026-08-29 09:22:36
26365;226;15;1015;0;0;0;;;0;0;0;0;0;0;0;0;1;Torwart;2026-08-29 09:22:36;2026-08-29 09:22:36
26366;226;15;1005;0;1;0;68;90;22;0;0;0;0;0;0;0;2;;2026-08-29 09:22:36;2026-08-29 09:22:36
26367;226;15;1008;0;1;0;89;90;1;0;0;0;0;0;0;0;5;;2026-08-29 09:22:36;2026-08-29 09:22:36
26368;226;15;1018;0;1;0;89;90;1;0;0;0;0;0;0;0;20;;2026-08-29 09:22:36;2026-08-29 09:22:36
26369;226;15;1019;0;1;0;68;90;22;0;0;0;0;0;0;0;21;;2026-08-29 09:22:36;2026-08-29 09:22:36
26370;226;15;1021;0;0;0;;;0;0;0;0;0;0;0;0;28;;2026-08-29 09:22:36;2026-08-29 09:22:36
