event_id;match_id;event_type_id;minute;second;team_id;player_id;related_player_id;value;notes;external_id;event_type_code;event_type_name;player_first_name;player_last_name;related_player_first_name;related_player_last_name;event_team_name;relation_to_selected_team
23767;31121;7;0;0;147;3026;3529;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Jan Luca;Thees;Dennis;Wirz;DJK Morscheid;opponent
23768;31121;6;0;0;147;3529;3026;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Dennis;Wirz;Jan Luca;Thees;DJK Morscheid;opponent
23769;31121;1;9;0;3;161;;goal;;;GOAL;Tor;Sascha;Kraus;;;FSG Ehrang-Pfalzel;own
23770;31121;3;41;0;3;;;yellow;41’ Gelbe Karte;;YELLOW_CARD;Gelbe Karte;;;;;FSG Ehrang-Pfalzel;own
23771;31121;3;43;0;147;;;yellow;Gelbe Karte 43’;;YELLOW_CARD;Gelbe Karte;;;;;DJK Morscheid;opponent
23772;31121;7;46;0;3;264;172;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Finn;Konrad;Nikolai;Smirnov;FSG Ehrang-Pfalzel;own
23773;31121;6;46;0;3;172;264;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Nikolai;Smirnov;Finn;Konrad;FSG Ehrang-Pfalzel;own
23774;31121;1;49;0;3;168;;goal;;;GOAL;Tor;Andreas;Huwer;;;FSG Ehrang-Pfalzel;own
23775;31121;4;58;0;3;;;red;58’ Rote Karte;;RED_CARD;Rote Karte;;;;;FSG Ehrang-Pfalzel;own
23776;31121;1;59;0;147;3024;;goal;;;GOAL;Tor;Tim;Schneider;;;DJK Morscheid;opponent
23777;31121;7;60;0;147;3031;3150;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Julius;Martini;Dominik;Martini;DJK Morscheid;opponent
23778;31121;6;60;0;147;3150;3031;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Dominik;Martini;Julius;Martini;DJK Morscheid;opponent
23779;31121;7;61;0;3;161;3134;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Sascha;Kraus;William Robert;Hutchinson;FSG Ehrang-Pfalzel;own
23780;31121;6;61;0;3;3134;161;substitution_in;;;SUBSTITUTION_IN;Einwechslung;William Robert;Hutchinson;Sascha;Kraus;FSG Ehrang-Pfalzel;own
23781;31121;1;61;0;3;511;;goal;;;GOAL;Tor;Samuel;Bayerath;;;FSG Ehrang-Pfalzel;own
23782;31121;7;67;0;3;160;173;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Rene;Schwarz;Marvin;Marvin;FSG Ehrang-Pfalzel;own
23783;31121;6;67;0;3;173;160;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Marvin;Marvin;Rene;Schwarz;FSG Ehrang-Pfalzel;own
23784;31121;8;77;0;147;3024;;penalty_goal;;;PENALTY_GOAL;Elfmetertor;Tim;Schneider;;;DJK Morscheid;opponent
23785;31121;7;80;0;3;176;2913;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Jason;Pütz;Philipp;Schmidt;FSG Ehrang-Pfalzel;own
23786;31121;6;80;0;3;2913;176;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Philipp;Schmidt;Jason;Pütz;FSG Ehrang-Pfalzel;own
23787;31121;7;83;0;3;511;2912;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Samuel;Bayerath;Pascal;Schmitt;FSG Ehrang-Pfalzel;own
23788;31121;6;83;0;3;2912;511;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Pascal;Schmitt;Samuel;Bayerath;FSG Ehrang-Pfalzel;own
