event_id;match_id;event_type_id;minute;second;team_id;player_id;related_player_id;value;notes;external_id;event_type_code;event_type_name;player_first_name;player_last_name;related_player_first_name;related_player_last_name;event_team_name;relation_to_selected_team
1298;59;7;50;0;3;264;158;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Finn;Konrad;Felix;Mertes;FSG Ehrang-Pfalzel;own
1299;59;6;50;0;3;158;264;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Felix;Mertes;Finn;Konrad;FSG Ehrang-Pfalzel;own
1300;59;1;52;0;10;20;;goal;;;GOAL;Tor;Thomas;Wagner;;;SV Föhren;opponent
1301;59;3;55;0;10;;;yellow;55’ Gelbe Karte;;YELLOW_CARD;Gelbe Karte;;;;;SV Föhren;opponent
1302;59;1;61;0;10;292;;goal;;;GOAL;Tor;Christopher;Haubrich;;;SV Föhren;opponent
1303;59;7;68;0;10;22;29;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Daniel;Loibl;Josua;Nisius;SV Föhren;opponent
1304;59;6;68;0;10;29;22;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Josua;Nisius;Daniel;Loibl;SV Föhren;opponent
1305;59;3;71;0;10;;;yellow;71’ Gelbe Karte;;YELLOW_CARD;Gelbe Karte;;;;;SV Föhren;opponent
1306;59;7;75;0;3;263;396;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Janik;Lerch;Benny;Weiler;FSG Ehrang-Pfalzel;own
1307;59;6;75;0;3;396;263;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Benny;Weiler;Janik;Lerch;FSG Ehrang-Pfalzel;own
1308;59;7;75;0;10;292;290;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Christopher;Haubrich;Peter;Weiler;SV Föhren;opponent
1309;59;6;75;0;10;290;292;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Peter;Weiler;Christopher;Haubrich;SV Föhren;opponent
1310;59;7;77;0;10;25;28;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;;Raphael;Lukas;Bojahr;SV Föhren;opponent
1311;59;6;77;0;10;28;25;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Lukas;Bojahr;;Raphael;SV Föhren;opponent
1312;59;1;77;0;10;31;;goal;;;GOAL;Tor;Luis;Loibl;;;SV Föhren;opponent
1313;59;1;87;0;10;31;;goal;;;GOAL;Tor;Luis;Loibl;;;SV Föhren;opponent
1314;59;1;89;0;10;20;;goal;;;GOAL;Tor;Thomas;Wagner;;;SV Föhren;opponent
1419;64;3;39;0;11;;;source:liveticker | 0:0;Gelbe Karte SV Trier-Irsch;;YELLOW_CARD;Gelbe Karte;;;;;SV Trier-Irsch;opponent
1418;64;3;51;0;11;;;source:liveticker | 0:0;Gelbe Karte SV Trier-Irsch;;YELLOW_CARD;Gelbe Karte;;;;;SV Trier-Irsch;opponent
1417;64;1;61;0;11;;;source:liveticker | 1:0;Tor für SV Trier-Irsch;;GOAL;Tor;;;;;SV Trier-Irsch;opponent
1416;64;1;68;0;11;;;source:liveticker | 2:0;Tor für SV Trier-Irsch;;GOAL;Tor;;;;;SV Trier-Irsch;opponent
1415;64;3;69;0;11;;;source:liveticker | 2:0;Gelbe Karte SV Trier-Irsch;;YELLOW_CARD;Gelbe Karte;;;;;SV Trier-Irsch;opponent
1414;64;3;76;0;3;;;source:liveticker | 2:0;Gelbe Karte FSG Ehrang-Pfalzel;;YELLOW_CARD;Gelbe Karte;;;;;FSG Ehrang-Pfalzel;own
1413;64;1;88;0;11;;;source:liveticker | 3:0;Tor für SV Trier-Irsch;;GOAL;Tor;;;;;SV Trier-Irsch;opponent
1595;73;1;21;0;3;161;;source:liveticker | 1:0;Tor durch Sascha Kraus (18);;GOAL;Tor;Sascha;Kraus;;;FSG Ehrang-Pfalzel;own
1594;73;1;24;0;4;44;;source:liveticker | 1:1;Tor durch Marcel Dammer (10);;GOAL;Tor;Marcel;Dammer;;;FSV Trier-Tarforst II;opponent
1593;73;1;52;0;3;160;;source:liveticker | 2:1;Tor durch Rene Schwarz (17);;GOAL;Tor;Rene;Schwarz;;;FSG Ehrang-Pfalzel;own
