lineup_id;match_id;team_id;player_id;is_starting;shirt_number;position
1858;55;3;162;1;19;
1859;55;3;262;1;1;Torwart
1860;55;3;165;1;3;
1861;55;3;166;1;5;
1862;55;3;265;1;6;
1863;55;3;168;1;9;
1864;55;3;263;1;10;
1865;55;3;393;0;22;Torwart
1866;55;3;170;0;7;
1867;55;3;167;0;8;
1868;55;3;158;0;11;
1869;55;3;324;0;13;
1870;55;3;172;0;16;
1971;59;3;262;1;1;Torwart
1972;59;3;164;1;3;
1973;59;3;166;1;5;
1974;59;3;170;1;7;
1975;59;3;167;1;8;
1976;59;3;263;1;10;
1977;59;3;331;1;12;
1978;59;3;176;1;14;
1979;59;3;172;1;16;
1980;59;3;161;1;18;
1981;59;3;264;1;21;
1982;59;3;158;0;11;
1983;59;3;324;0;13;
1984;59;3;396;0;20;
1985;59;3;393;0;26;
2162;64;3;263;1;10;
2163;64;3;158;1;11;
2164;64;3;176;1;14;
2165;64;3;172;1;16;
2166;64;3;161;1;18;
2167;64;3;262;1;1;Torwart
2168;64;3;169;1;2;
2169;64;3;164;1;3;
2170;64;3;166;1;5;
2171;64;3;265;1;6;
2172;64;3;162;1;7;
2173;64;3;406;0;4;
2174;64;3;167;0;8;
2175;64;3;407;0;19;
2176;64;3;264;0;21;
2441;73;3;262;1;1;Torwart
2442;73;3;164;1;3;
2443;73;3;406;1;4;
2444;73;3;166;1;5;
2445;73;3;263;1;10;
2446;73;3;331;1;12;
2447;73;3;176;1;14;
2448;73;3;171;1;15;
2449;73;3;160;1;17;
2450;73;3;161;1;18;
2451;73;3;162;1;19;
2452;73;3;325;0;22;Torwart
2453;73;3;169;0;2;
2454;73;3;265;0;6;
2455;73;3;170;0;7;
2456;73;3;172;0;16;
2457;73;3;264;0;21;
2699;80;3;176;1;14;
2700;80;3;172;1;16;
2701;80;3;160;1;17;
2702;80;3;161;1;18;
2703;80;3;162;1;19;
2704;80;3;262;1;1;Torwart
2705;80;3;406;1;4;
2706;80;3;166;1;5;
2707;80;3;265;1;6;
2708;80;3;170;1;7;
2709;80;3;263;1;10;
2710;80;3;325;0;22;Torwart
2711;80;3;169;0;2;
2712;80;3;433;0;12;
2713;80;3;165;0;13;
2714;80;3;171;0;15;
2715;80;3;264;0;21;
2910;87;3;325;1;1;Torwart
2911;87;3;164;1;3;
2912;87;3;406;1;4;
2913;87;3;166;1;5;
2914;87;3;263;1;10;
2915;87;3;331;1;12;
2916;87;3;433;1;13;
2917;87;3;176;1;14;
2918;87;3;171;1;15;
2919;87;3;161;1;18;
2920;87;3;162;1;19;
2921;87;3;393;0;22;Torwart
2922;87;3;265;0;6;
2923;87;3;170;0;7;
2924;87;3;165;0;11;
2925;87;3;439;0;16;
2926;87;3;264;0;21;
18550;96;3;325;1;1;Torwart
18551;96;3;406;1;4;
18552;96;3;166;1;5;
18553;96;3;263;1;10;
18554;96;3;331;1;12;
18555;96;3;433;1;13;
18556;96;3;176;1;14;
18557;96;3;165;1;16;
18558;96;3;161;1;18;
18559;96;3;162;1;19;
18560;96;3;264;1;21;
18561;96;3;262;0;22;Torwart
18562;96;3;169;0;2;
18563;96;3;164;0;3;
18564;96;3;265;0;6;
18565;96;3;158;0;11;
18566;96;3;171;0;15;
3402;101;3;433;1;13;
3403;101;3;165;1;14;
3404;101;3;171;1;15;
3405;101;3;161;1;18;
3406;101;3;365;1;19;
3407;101;3;325;1;1;Torwart
3408;101;3;169;1;2;
3409;101;3;164;1;3;
3410;101;3;166;1;5;
3411;101;3;170;1;7;
3412;101;3;162;1;9;
3413;101;3;265;0;6;
3414;101;3;158;0;11;
3415;101;3;439;0;17;
3416;101;3;172;0;20;
3761;112;3;262;1;1;Torwart
3762;112;3;169;1;2;
3763;112;3;166;1;5;
3764;112;3;170;1;7;
3765;112;3;168;1;9;
3766;112;3;263;1;10;
3767;112;3;176;1;14;
3768;112;3;433;1;16;
3769;112;3;161;1;18;
3770;112;3;162;1;19;
3771;112;3;264;1;21;
3772;112;3;325;0;22;Torwart
3773;112;3;164;0;3;
3774;112;3;265;0;6;
3775;112;3;324;0;12;
3776;112;3;331;0;13;
3777;112;3;171;0;15;
3778;112;3;160;0;17;
3880;115;3;263;1;10;
3881;115;3;176;1;14;
3882;115;3;171;1;15;
3883;115;3;161;1;18;
3884;115;3;162;1;19;
3885;115;3;325;1;1;Torwart
3886;115;3;169;1;2;
3887;115;3;166;1;5;
3888;115;3;170;1;7;
3889;115;3;167;1;8;
3890;115;3;168;1;9;
3891;115;3;406;0;4;
3892;115;3;433;0;12;
3893;115;3;511;0;13;
3894;115;3;172;0;16;
3895;115;3;264;0;21;
3896;115;3;512;0;22;
4023;120;3;325;1;1;Torwart
4024;120;3;166;1;5;
4025;120;3;167;1;8;
4026;120;3;168;1;9;
4027;120;3;263;1;10;
4028;120;3;433;1;12;
4029;120;3;365;1;13;
4030;120;3;171;1;15;
4031;120;3;172;1;16;
4032;120;3;162;1;19;
4033;120;3;264;1;21;
4034;120;3;169;0;2;
4035;120;3;406;0;4;
4036;120;3;170;0;7;
4037;120;3;176;0;14;
4038;120;3;160;0;17;
4351;130;3;512;1;1;Torwart
4352;130;3;406;1;4;
4353;130;3;166;1;5;
4354;130;3;167;1;8;
4355;130;3;168;1;9;
4356;130;3;263;1;10;
4357;130;3;365;1;13;
4358;130;3;511;1;15;
4359;130;3;172;1;16;
4360;130;3;162;1;19;
4361;130;3;264;1;21;
4362;130;3;169;0;2;
4363;130;3;170;0;7;
4364;130;3;536;0;11;
4365;130;3;176;0;14;
4564;136;3;433;1;11;
4565;136;3;176;1;14;
4566;136;3;171;1;15;
4567;136;3;172;1;16;
4568;136;3;162;1;19;
4569;136;3;512;1;1;Torwart
4570;136;3;406;1;4;
4571;136;3;166;1;5;
4572;136;3;170;1;7;
4573;136;3;167;1;8;
4574;136;3;168;1;9;
4575;136;3;169;0;2;
4576;136;3;265;0;6;
4577;136;3;511;0;12;
4578;136;3;536;0;13;
4579;136;3;264;0;21;
4881;146;3;262;1;1;Torwart
4882;146;3;166;1;5;
4883;146;3;170;1;7;
4884;146;3;167;1;8;
4885;146;3;168;1;9;
4886;146;3;365;1;12;
4887;146;3;176;1;14;
4888;146;3;171;1;15;
4889;146;3;172;1;16;
4890;146;3;433;1;17;
4891;146;3;162;1;19;
4892;146;3;169;0;2;
4893;146;3;406;0;4;
4894;146;3;265;0;6;
4895;146;3;263;0;10;
4896;146;3;158;0;11;
4897;146;3;161;0;18;
4898;146;3;264;0;21;
4899;146;3;325;0;22;
5044;150;3;511;1;12;
5045;150;3;176;1;14;
5046;150;3;171;1;15;
5047;150;3;162;1;19;
5048;150;3;264;1;21;
5049;150;3;325;1;22;Torwart
5050;150;3;406;1;4;
5051;150;3;166;1;5;
5052;150;3;170;1;7;
5053;150;3;168;1;9;
5054;150;3;433;1;11;
5055;150;3;512;0;1;Torwart
5056;150;3;169;0;2;
